"","id","Publication Year","Author","Title","Publication Title","DOI","Pages","Issue","Volume","abstract","Location","x","y","Context","Functional Groups","Time Frame value","Time Frame Units","Treatments/Factors","Growth","Treatment differences","Response Variables","Notes","Elevation","MAP","MAT","X_raw","Y_raw","bib"
"22",19,2014,"Bu, Chongfeng; Wu, Shufang; Yang, Yongsheng; Zheng, Mingguo","Identification of Factors Influencing the Restoration of Cyanobacteria-Dominated Biological Soil Crusts","PLoS ONE","10.1371/journal.pone.0090049","e90049","3",9,"Biological soil crusts (BSCs) cover >35% of the Earth's land area and contribute to important ecological functions in arid and semiarid ecosystems, including erosion reduction, hydrological cycling, and nutrient cycling. Artificial rapid cultivation of BSCs can provide a novel alternative to traditional biological methods for controlling soil and water loss such as the planting of trees, shrubs, and grasses. At present, little is known regarding the cultivation of BSCs in the field due to lack of knowledge regarding the influencing factors that control BSCs growth. Thus, we determined the effects of various environmental factors (shade; watering; N, P, K, and Ca concentrations) on the growth of cyanobacteria-dominated BSCs from the Sonoran Desert in the southwestern United States. The soil surface changes and chlorophyll a concentrations were used as proxies of BSC growth and development. After 4 months, five factors were found to impact BSC growth with the following order of importance: NH4NO3 approximate to watering frequency>shading>CaCO3 approximate to KH2PO4. The soil water content was the primary positive factor affecting BSC growth, and BSCs that were watered every 5 days harbored greater biomass than those watered every 10 days. Groups that received NH4NO3 consistently exhibited poor growth, suggesting that fixed N amendment may suppress BSC growth. The effect of shading on the BSC biomass was inconsistent and depended on many factors including the soil water content and availability of nutrients. KH2PO4 and CaCO3 had nonsignificant effects on BSC growth. Collectively, our results indicate that the rapid restoration of BSCs can be controlled and realized by artificial """"""""broadcasting"""""""" cultivation through the optimization of environmental factors.","Arizona",-111.7605556,32.99083333,"Greenhouse","Cyanobacteria",4,"Months","Watering Frequency, Nutrients, Shading","Positive","Watering Frequency","Chl a, Biomass (C), EPS, Torvane","","","","","","","bib/bu_identification_2014.bib"
"23",66,2014,"Muczynski, Sharon","Improving Ecosystem Function: Facilitating restoration of degraded biocrusts using mixed culture inoculation","","","","",NA,"In arid and semiarid ecosystems where physiological constraints prevent most vascular plant establishment, the biological soil crust (biocrust) community is ecologically critical. The key to the survival of biocrust is the versatility and adaptability of cyanobacteria and green algae. The organismal construct of the biocrust community is especially vulnerable to compressional forces, and is slow to recover without assistance. Given the importance of biocrusts to so many aspects of healthy ecosytem function, it would be advantageous if land managers prioritized restoring damaged biocrusts. Coastal sage scrub (CSS) is a unique and imperiled valuable habitat and is nearly unmatched in the biodiversity of unique plants and animals. Recent work in biocrust restoration finds that assisted restoration speeds recovery of functionality in biocrusts. At present, studies of biocrust restoration in CSS habitat do not exist. This study examines the feasibility of isolating and culturing a mix of endemic CSS cyanobacteria and green algae to inoculate native CSS soil, thereby facilitating recovery of disturbed biological soil crusts. It further looks at markers for culture growth, chlorophyll a, extractable polysaccharides, and stability, to gauge whether inoculation and growth of the culture have increased soil function. Growth of the mixed culture and increases in functionality are compared between autoclaved soil inoculations and native soil inoculations to determine the extent that native crust organisms can regrow without inoculation, and how the inoculum interacts with the native microbial community. A putative novel genus and species of cyanobacteria related to Leptolyngbya was isolated and tentatively included in the genus, Trichotorquatus. The mixed culture included a green algae, possibly a species of Trebouxia. Mixed inoculum added to native soil significantly increased chorophyll a levels and soil stability, and increased extractable polysaccharides after just two months, demonstrating recovery of function. Autoclaving soil reduced increases in functionality indicating the importance of the intact soil community for growth. It may be possible in the future to restore biocrust in CSS using mixed culture inoculation.","Coastal Sage Scrub, San Diego",-117.15,33.43333333,"Greenhouse","Algae, Cyanobacteria, Bryophytes",2,"Months","Inoculum Source","Positive","Inoculum Source","Chl a, EPS, Aggregate stability","","","","","117¯9? W","33¯26? N","bib/muczynski_improving_2014.bib"
"24",13,2016,"Bowker, Matthew A.; Antoninka, Anita J.","Rapid ex situ culture of N-fixing soil lichens and biocrusts is enhanced by complementarity","Plant and Soil","10.1007/s11104-016-2929-7","415?428","2-Jan",408,"Rehabilitation of biological soil crusts (biocrusts) in degraded drylands may facilitate ecosystem recovery. In order to rehabilitate biocrusts, ex situ culture methods for biocrust organisms must be optimized so that biocrusts may be grown in sufficient quantities to be reintroduced into degraded areas. Our goal was to improve these culture methods.We cultured six biocrust lichens and mosses, alone or in combinations, in a full-factorial greenhouse experiment, also manipulating water quality and hydration schedule.All cultures produced a multi-species biocrust. The lichen Collema grew fastest, increasing by up to 238 % over 5 months. The mosses Syntrichia caninervis, and Syntrichia ruralis also grew, whereas other lichen species failed to maintain growth. Species combinations featuring Collema and both mosses exhibited greater growth rates for all species, compared to monocultures. All species were either unaffected by water quality, or performed better when irrigated with purer water. Several species responded favorably to shorter dry periods.The lichen Collema is a promising restoration material because of its culturability, and its N-fixation ability. Initial species composition of a culture will likely affect its success, and complementarity among species may be exploitable in order to produce inoculum faster.","Great Basin",-113.5011778,41.10711111,"Greenhouse","Moss, Lichen",5,"Months","Inoculum species, Watering Frequency, Water Quality","Positive","Inoculum species, Watering Frequency, Water Quality","Cover","","","","","","","bib/bowker_rapid_2016.bib"
"25",14,2015,"Antoninka, Anita; Bowker, Matthew A.; Reed, Sasha C.; Doherty, Kyle","Production of greenhouse-grown biocrust mosses and associated cyanobacteria to rehabilitate dryland soil function","Restoration Ecology","10.1111/rec.12311","324?335","3",24,"Mosses are an often-overlooked component of dryland ecosystems, yet they are common members of biological soil crust communities (biocrusts) and provide key ecosystem services, including soil stabilization, water retention, carbon fixation, and housing of N-2 fixing cyanobacteria. Mosses are able to survive long dry periods, respond rapidly to precipitation, and reproduce vegetatively. With these qualities, drylandmosses have the potential to be an excellent dryland restoration material. Unfortunately, dryland mosses are often slow growing in nature, and ex situ cultivation methods are needed to enhance their utility. Our goal was to determine how to rapidly produce, vegetatively, Syntrichia caninervis and S. ruralis, common and abundant moss species in drylands of North America and elsewhere, in a greenhouse. We manipulated the length of hydration on a weekly schedule (5, 4, 3, or 2 days continuous hydration per week), crossed with fertilization (once at the beginning, monthly, biweekly, or not at all). Moss biomass increased sixfold for both species in 4 months, an increase that would require years under dryland field conditions. Both moss species preferred short hydration and monthly fertilizer. Remarkably, we also unintentionally cultured a variety of other important biocrust organisms, including cyanobacteria and lichens. In only 6 months, we produced functionally mature biocrusts, as evidenced by high productivity and ecosystem-relevant levels of N-2 fixation. Our results suggest that biocrust mossesmight be the ideal candidate for biocrust cultivation for restoration purposes. With optimization, these methods are the first step in developing a moss-based biocrust rehabilitation technology.","Great Basin Desert",-112.9941944,41.03966667,"Greenhouse","Moss, Lichen, Cyanobacteria",6,"Months","Inoculum species, Watering Frequency, Nutrients","Positive","Inoculum source, Watering Frequency, Nutrients","Chl a, Cover, Mineralization, NDVI","","","","","","","bib/antoninka_production_2015.bib"
"26",83,2013,"Zhang, Bingchang; Zhang, Yuanming; Su, Yangui; Wang, Jingzhu; Zhang, Jing","Responses of Microalgal-Microbial Biomass and Enzyme Activities of Biological Soil Crusts to Moisture and InoculatedMicrocoleus vaginatusGradients","Arid Land Research and Management","10.1080/15324982.2012.754514","216?230","3",27,"Microcoleus vaginatus Gom., the dominant cyanobacterial species in biological soil crusts (BSCs), plays a critical role in forming BSCs. Four inoculum dosages of M. vaginatus (0.5, 1, 3, and 7 g  m2 ) were inoculated across a sand surface and subjected to five moisture treatments (0, 1, 2, 3, and 4 L  m2 ). Microalgal biomass, microbial biomass, and enzyme activities (invertase, alkaline phosphatase, and urease) were subsequently determined. In general, microalgal biomass, microbial biomass composed of carbon and nitrogen, as well as alkaline phosphatase and urease activity were increased by increasing inoculum dosages and moisture, whereas invertase activity decreased with higher moisture content. Combination of 7 g m2 inoculum and 2 or 3 L m2 moisture was recommended for M. vaginatus to recover BSCs. Significant positive correlations were observed between microalgal biomass, microbial biomass, C:N ratios, and enzyme activities. Increasing microalgal biomass can act as an energy source for microbial activity, while the growth of cyanobacteria and microorganisms provides substrates for enzymatic activities. Results from the present study allows better understanding of the conditions for M. vaginatus forming BSCs and offers guidance for successful recovery of BSCs in the field.","Gurbantunggut desert, China",88.25083333,44.59472222,"Greenhouse","Cyanobacteria",50,"Days","Inoculation rate, Water amount","Positive","Inoculation rate, Watering Amount","Biomas, Enzyme activity","Strange result of significant increase in Chl a values as a function of inoculation rate even with *no* water added (""""the control"""")","","","","88 14 63 E","44 35 41 N","bib/zhang_roles_2013.bib"
"27",15,2010,"Lan, Shubin; Wu, Li; Zhang, Delu; Hu, Chunxiang; Liu, Yongding","Effects of drought and salt stresses on man-made cyanobacterial crusts","European Journal of Soil Biology","10.1016/j.ejsobi.2010.08.002","381?386","6",46,"As a primary successional stage of biological soil crusts (BSCs) cyanobacterial crusts form firstly in the arid and semiarid areas At the same time they suffer many stress conditions such as drought salt etc In this study we constructed man-made cyanobacterial crusts with Microcoleus vaginatus Gom and comparatively studied the effects of drought and salt stresses on the crusts The results showed that crust growth and photosynthetic activity was significantly inhibited by the stress conditions (P < 0 05) and inhibitory effect Increased with the increasing stress intensity and treated time Compared with salt stress drought completely stopped crust metabolic activity so the crust biomass was conserved at a higher level which meant that drought itself might provide the crusts some protection especially when the crusts simultaneously suffered drought and salt stresses That is very important for the survival of crusts in the high-salt areas In addition to some extent the crusts could adapt to the stress conditions through metabolic adjustment In our experiment we found the accumulation of exopolysaccharides (EPS) increased under stress conditions within a certain threshold (C) 2010 Elsevier Masson SAS All rights reserved","Inner Mongolia, China",109.85,40.35,"Greenhouse","Cyanobacteria",48,"Days","Watering Frequency, Salt","Positive","Watering Frequency, Salt","Chl a, EPS, Fluorescence, Pigments","","","","","","","bib/lan_non-rainfall_2010.bib"
"28",77,1994,"Rogers, S. L.; Burns, R. G.","Changes in aggregate stability, nutrient status, indigenous microbial populations, and seedling emergence, following inoculation of soil withNostoc muscorum","Biology and Fertility of Soils","10.1007/bf00647668","209?215","3",18,"The potential of the N2-fixing cyanophyteNostoc muscorum for improving the aggregate stability of a poorly structured silt loam soil was studied in a greenhouse experiment. Inoculum rates were 1.61?105 cells g-1 soil dry weight (low rate) and 4.04?105 cell g-1 soil dry weight (high rate), approximately equivalent to a field application of 2 and 5 kg ha-1 cells dry weight, respectively.N. muscorum numbers had increased 8-fold (low rate) and 10-fold (high rate) by 300 days after inoculation, indicating not only survival but proliferation. Increases in soil polysaccharides, determined as soil carbohydrate C, were 2.96?3.49 time the values in the non-inoculated soils and aggregate stability had incrased by an average of 18% on day 300. Inoculation withN. muscorum also had a pronounced effect on soil chemical and biological properties, with total C increasing by 50?63% and total N increasing by 111?120%. Increases in the soil indigenous microbial population were recorded, with numbers of bacteria 500, fungi 16, and actinomycetes 48 times the non-inoculated values on day 300 in the high-rate soil. The emergence of lettuce seedlings (Lactuca sativa var. Saladin) in undisturbed inoculated 300-day soils was 56% (low rate) and 52% (high rate) higher than in non-inoculated soils. However, homogenising soils and irrigating (to smulate ploughing and surface crusting) significantly reduced this increase in both treatments, although emergence in inoculated soils was still greater by 45% (low) and 24% (high). It is recommended that inoculated soils be left undisturbed prior to planting. The effects ofN. muscorum on soil physical, chemical, and biological properties indicate the possible benefits of cyanobacteria as soil inoculants, not only for the improvement of soil aggregate stability but also as a means of improving seedling emergence.","Kent, England",1.365,51.22,"Greenhouse","Cyanobacteria",300,"Days","Inoculation Rate","Positive","Inoculation Rate","Cell counts, EPS, aggregate stability, Soil Nutrients, Seedling emergence","","","","","","","bib/rogers_changes_1994.bib"
"29",16,2016,"Ayuso, Sergio Velasco; Silva, Ana Giraldo; Nelson, Corey; Barger, Nichole N.; Garcia-Pichel, Ferran","Microbial Nursery Production of High-Quality Biological Soil Crust Biomass for Restoration of Degraded Dryland Soils","Applied and Environmental Microbiology","10.1128/aem.02179-16","","3",83,"Biological soil crusts (biocrusts) are slow-growing, phototroph-based microbial assemblages that develop on the topsoils of drylands. Biocrusts help maintain soil fertility and reduce erosion. Because their loss through human activities has negative ecological and environmental health consequences, biocrust restoration is of interest. Active soil inoculation with biocrust microorganisms can be an important tool in this endeavor. We present a culture-independent, two-step process to grow multispecies biocrusts in open greenhouse nursery facilities, based on the inoculation of local soils with local biocrust remnants and incubation under seminatural conditions that maintain the essence of the habitat but lessen its harshness. In each of four U.S. Southwest sites, we tested and deployed combinations of factors that maximized growth (gauged as chlorophyll a content) while minimizing microbial community shifts (assessed by 16S rRNA sequencing and bioinformatics), particularly for crust-forming cyanobacteria. Generally, doubling the frequency of natural wetting events, a 60% reduction in sunlight, and inoculation by slurry were optimal. Nutrient addition effects were site specific. In 4 months, our approach yielded crusts of high inoculum quality reared on local soil exposed to locally matched climates, acclimated to desiccation, and containing communities minimally shifted in composition from local ones. Our inoculum contained abundant crust-forming cyanobacteria and no significant numbers of allochthonous phototrophs, and it was sufficient to treat ca. 6,000 m(2) of degraded dryland soils at 1 to 5% of the typical crust biomass concentration, having started from a natural crust remnant as small as 6 to 30 cm(2).IMPORTANCE Soil surface crusts can protect dryland soils from erosion, but they are often negatively impacted by human activities. Their degradation causes a loss of fertility, increased production of fugitive dust and intensity of dust storms with associated traffic problems, and provokes general public health hazards. Our results constitute an advance in the quest to actively restore biological soil covers by providing a means to obtain high-quality inoculum within a reasonable time (a few months), thereby allowing land managers to recover essential, but damaged, ecosystem services in a sustainable, self-perpetuating way as provided by biocrust communities.","Multiple Locations",-109.68,36.796,"Greenhouse","Moss, Lichen, Cyanobacteria",5,"Months","Inoculum source, Watering Frequency, Nutrients, Shading, Delivery Method","Positive","Inoculum source, Watering Frequency, Nutrients, Shading, Delivery Method","Chl a, Biomass (C), microbial community structure","","","","","-105.984151,-106.723240, -113.023194, -113.008204","32.431069, 32.545580, 41.104198, 41.104211","bib/ayuso_microbial_2016.bib"
"30",82,2016,"Zaady, Eli; Katra, Itzhak; Barkai, Daniel; Knoll, Yaakov; Sarig, Shlomo","The Coupling Effects of Using Coal Fly-Ash and Bio-Inoculant for Rehabilitation of Disturbed Biocrusts in Active Sand Dunes","Land Degradation & Development","10.1002/ldr.2510","1228?1236","4",28,"Active wind?borne sand dunes, which lead to covering of fertile soils and agricultural fields, are one of the main problems in desertified lands worldwide, and stabilizing them poses a significant challenge. Such sand dunes may be naturally stabilized by biocrusts (biological soil crusts). One of the main restraints of biocrust development is the typical lack of fine particles in sand dunes. A possible artificial source of fine particles is coal fly?ash, which is the by?product of power stations and comprises of particles having a diameter of less than 100?Êm. This study tested the influence of the coupling effects of coal fly?ash and bio?inoculant of filamentous cyanobacteria, isolated from natural stabilized sand dunes nearby, on the soil surface of active sands for increasing resistance to wind erosion. Boundary?layer wind tunnel experiments were conducted in experimental plots within a greenhouse for examining the effects of adding coal fly?ash and bio?inoculant to active sands. The biocrust development was evaluated via several physical and bio?physiological variables. In all the physical measurements and the bio?physiological variables, the treatment of ?sand?+?inoculum?+?coal fly?ash? showed significant differences from the ?sand?control?. The combination led to the best results of surface stabilization in boundary?layer wind tunnel experiments, with the lowest sand fluxes. The filamentous cyanobacteria use the fine particles of the coal fly?ash as bridges for growing toward and adhering to the large sand particles. The cumulative effects of biocrusts and coal fly?ash enhance soil surface stabilization and may allow long?term sustainability","Negev Desert, Israel",34.33333333,31.11666667,"Greenhouse","Cyanobacteria",8,"Weeks","Inoculation, Soil Amendment","Positive","Amendment + Inoculation","Wind Erosion, Compressive Strength, Aggregate Stability, PSD, EPS, Infiltration, SEM","","","","","34¯ 20?E","31¯ 07?N","bib/zaady_coupling_2016.bib"
"31",17,1996,"Neuman, Cheryl McKenna; Maxwell, Christine D.; Boulton, J. Wayne","Wind transport of sand surfaces crusted with photoautotrophic microorganisms","CATENA","10.1016/0341-8162(96)00023-9","229?247","4-Mar",27,"Wind tunnel experiments show that while surfaces inoculated with photoautotrophic organisms are stable in winds up to 19 m s(-1), only filamentous cyanobacteria, especially Nostoc commune, afford considerable protection against abrasion from windborne particles. Crusts formed by the polysaccharide secreting alga Chlamydomonas acidophila break down easily under impact, the entrainment of large, low density aggregates possibly contributing to higher transport rates than would otherwise be expected for untreated sediment. Surface disintegration encompasses a suite of complex, scale dependent processes which vary with the structure, thickness and strength of the crust. independent measurements of crust strength based on flexure testing are in good agreement with wind tunnel evaluation of crust stability. The accommodation of a relatively large amount of deformation without rupture is an important property of fibrous, photoautotrophic mats, perhaps outweighing consideration of their peak strength.","Ontario",-93.7,48.97,"Greenhouse","Cyanobacteria",5,"Weeks","Inoculum species","Positive","Inoculum species","Compressive Strength, Wind erosion","","","","","","","bib/neuman_wind_1996.bib"
"32",79,2015,"Lan, Shubin; Wu, Li; Zhang, Delu; Hu, Chunxiang","Effects of light and temperature on open cultivation of desert cyanobacterium Microcoleus vaginatus","Bioresource Technology","10.1016/j.biortech.2015.02.002","144?150","",182,"Microalgae cultivation has recently been recognized as an important issue to deal with the increasingly prominent resource and environmental problems. In this study, desert cyanobacterium Microcoleus vaginatus was open cultivated in 4 different cultivation conditions in Qubqi Desert, and it was found Chlorella sp., Scenedesmus sp. and Navicula sp. were the main contaminating microalgal species during the cultivation. High light intensity alone was responsible for the green algae contamination, but the accompanied high temperature was beneficial to cyanobacterial growth, and the maximum biomass productivity acquired was 41.3 mg L1 d1 . Low temperature was more suitable for contaminating diatoms? growth, although all the microalgae (including the target and contaminating) are still demand for a degree of light intensity, at least average daily light intensity >5 lE m2 s1 . As a whole, cultivation time, conditions and their interaction had a significant impact on microalgal photosynthetic activity (Fv/Fm), biomass and exopolysaccharides content (P < 0.001)","Qubqi Desert",109.85,40.35,"Greenhouse","Cyanobacteria",20,"Days","Shading","Positive","Shading","Biomass, Chl a, EPS, Chl Fluorescence, Contaminant species","","","284","","109 51E","40 21  N","bib/lan_effects_2015.bib"
"33",18,2017,"Bowker, Matthew A.; Antoninka, Anita J.; Durham, Rebecca A.","Applying community ecological theory to maximize productivity of cultivated biocrusts","Ecological Applications","10.1002/eap.1582","1958?1969","6",27,"Degraded rangelands around the world may benefit from the reestablishment of lost biological soil crusts (biocrusts, soil surface cryptogamic-microbial communities). Cultivation of biocrust organisms is the first step in this process, and may benefit from harnessing species interactions. Species interactions are a dominant force structuring ecological communities. One key element of community structure, species richness, is itself important because it can promote the productivity of the entire community. Here, we use biological soil crusts as a model to test the effects of species interactions on production of biocrust materials for use in ecosystem rehabilitation. We screened eight different moss and lichen species from semiarid rangelands of Montana, USA, for growth potential under two watering regimes. Mosses generally grew well, but we were unable to cultivate the selected lichen species. We produced a >400% increase in the biomass of one species (Ceratodon purpureus). We tested whether a parasite-host relationship between two lichens could be used to enhance productivity of the parasite species, but this also resulted in no net gain of lichen productivity. Finally, we constructed all possible community combinations from a pool of five moss species to test for overyielding (community productivity exceeding that expected from the growth of community members in monoculture), and to determine both if, and the mode in which, species richness increases productivity. Polycultures yielded more than would be expected based upon the production of community constituents in monoculture. Using structural equation models, we determined that there was a modest effect of species richness on community productivity (r = 0.24-0.25), which was independent of a stronger effect of the identity of species in the community (r = 0.41-0.50). These results will contribute to the optimization of biocrust cultivation, promoting the development of this emerging ecological rehabilitation technology.","Sapphire Mountains of Montana",-113.768,46.249,"Greenhouse","Moss",5,"Months","Inoculum species","Positive","Inoculum species","","","","325","","","","bib/bowker_applying_2017.bib"
"34",80,1980,"Tiedemann, A. R.; Lopushinsky, W.; Larsen, H. J.","Plant and soil responses to a commercial blue-green algae inoculant","Soil Biology and Biochemistry","10.1016/0038-0717(80)90082-6","471?475","5",12,"A commercial blue-green algae inoculant (Genesis II) for improving the N content of soils was applied to basalt and pumice soils in a greenhouse pot test with orchardgrass, pinegrass, Douglasfir, and ponderosa pine. Treatments were control (deionized water), live algae, killed algae, live algae plus P, K and S and P, K and S only. Plant biomass yields with live inoculant generally were significantly greater than with the control treatment but were the same as with killed inoculant. Live algae plus P, K and S further enhanced productivity. P, K and S alone produced no increase over the control treatment. Response to the inoculant compared to the control appears to be a result of addition of nutrients present in the inoculant stock solution. Further biomass increases with the P, K and S plus live algae treatment compared to live and dead algae treatments occurred because these nutrients became limiting as N was added. Total organic-N and total C in surface soils were similar in all treatments.

When the stock solution was sampled via culture methods, the most prominent species found was Chlorella, a green alga. Anabaena, an N2 fixing blue-green alga, produced less than one colony per plate on the average. Phormidium, a blue-green alga not found in the inoculant, was dominant on the soil surface at the end of the test suggesting a soil origin for this species. Results indicate that Genesis II probably has very limited potential to enhance blue-green algal populations and, consequently, N of the forest soils used in this test.","Wenatchee, Washington ",-120.408,47.41,"Greenhouse","Cyanobacteria",24,"Weeks","Inoculant, Nutrients","Negative","","Plant growth, cell counts","","","","","","","bib/tiedemann_plant_1980.bib"
"35",20,2017,"Bu, Chongfeng; Wang, Chun; Yang, Yongsheng; Zhang, Li; Bowker, Matthew A.","Physiological responses of artificial moss biocrusts to dehydration-rehydration process and heat stress on the Loess Plateau, China","Journal of Arid Land","10.1007/s40333-017-0057-8","419?431","3",9,"Ex-situ cultivation of biological soil crusts (biocrusts) is a promising technology to produce materials that can induce the recovery of biocrusts in the field for the purposes of preventing soil erosion and improving hydrological function in degraded ecosystems. However, the ability of artificially cultivated biocrusts to survive under adverse field conditions, including drought and heat stresses, is still relatively unknown. Mosses can bolster biocrust resistance to the stresses (e.g., drought and heat) and the resistance may be introduced prior to field cultivation. In this study, we subjected the well-developed artificial moss biocrusts (dominant species of Didymodon vinealis (Brid.) Zand.) that we cultivated in the phytotron to a dehydration-rehydration experiment and also a heat stress experiment and measured the activities of protective enzymes (including peroxidase (POD), superoxide dismutase (SOD), and catalase (CAT)) and the contents of osmoregulatory substances (including soluble proteins and soluble sugars) and malondialdehyde (MDA, an indicator of oxidative stress) in the stem and leaf fragments of mosses. The results showed that, during the dehydration process, the activities of protective enzymes and the contents of osmoregulatory substances and MDA gradually increased with increasing duration of drought stress (over 13 days). During the rehydration process, values of these parameters decreased rapidly after 1 d of rehydration. The values then showed a gradual decrease for 5 days, approaching to the control levels. Under heat stress (45A degrees C), the activities of protective enzymes and the content of soluble proteins increased rapidly within 2 h of heat exposure and then decreased gradually with increasing duration of heat exposure. In contrast, the contents of soluble sugars and MDA always increased gradually with increasing duration of heat exposure. This study indicates that artificial moss biocrusts possess a strong drought resistance and this resistance can be enhanced after a gradual dehydration treatment. This study also indicates that artificial moss biocrusts can only resist short-term heat stress (not long-term heat stress). These findings suggest that short-term heat stress or prolonged drought stress could be used to elevate the resistance of artificial moss biocrusts to adverse conditions prior to field reintroduction."," Shaanxi Province, China",109.2588889,36.79944444,"Labratory","Moss",2,"Weeks","Watering Frequency, Temperature","Mixed","Watering Frequency, Temperature","chemistry","","","520","8.8","","","bib/bu_successful_2017.bib"
"36",21,2018,"Rom†n, JosÇ Ra£l; Roncero-Ramos, Beatriz; Chamizo, Sonia; Rodr°guez-Caballero, Emilio; Cant¢n, Yolanda","Restoring soil functions by means of cyanobacteria inoculation: Importance of soil conditions and species selection","Land Degradation & Development","10.1002/ldr.3064","3184?3193","9",29,"In recent years, soil inoculation with cyanobacteria has become one of the most promising biotechnological strategies for restoring soil functionality in degraded drylands because of their critical role in increasing soil fertility and preventing erosion. Nevertheless, in order to fully exploit this biotechnology on a large scale, it must still be shown whether inoculated cyanobacteria are capable of developing in soils with different physicochemical properties, and new candidates adapted to desert conditions must be explored. To evaluate the potential of cyanobacteria for restoring soil functions of degraded dryland soils, in this laboratory study, we analyzed the effect of inoculating three native N?fixing species (Nostoc commune,ˇScytonema hyalinum, andˇTolypothrix distorta), individually and as a consortium, on soil properties from three different semiarid ecosystems in southeast Spain. The biocrust colonization was monitored by determining chlorophyllˇaˇcontent (the typical surrogate used for biocrust biomass). Other methodologies, such as the analysis of soil spectral response and image classification were also applied for cover estimation of the biocrust. After 3ˇmonths, all inoculated soils showed cyanobacteria cover of up to 50%, lower albedo and higher chlorophyllˇacontent. Cyanobacterial inoculation also improved soil functions, as they promoted a significant gain in total organic carbon and total nitrogen in all soils. Among inoculation treatments,ˇNostoc communeˇand the mixture of all three species promoted the most cyanobacteria coverage, chlorophyll content, and surface darkening, as well as organic carbon and total nitrogen gains in the soil, highlighting their excellent performance in biocrust development.","Almer??a SE Spain",-2.252222222,36.83361111,"Labratory","Cyanobacteria",3,"Months","Inoculum source, Inoculum species","Positive","Inoculum source, Inoculum species","Chl a, Cover, Biomass (C), Nitrogen, NDVI","","","","","","","bib/NA.bib"
"37",63,2013,"Lichner, Lubom°r; Hallett, Paul D.; Drongov†, Zuzana; Czachor, Henryk; Kovacik, Lubomir; Mataix-Solera, Jorge; Homol†k, Mari†n","Algae influence the hydrophysical parameters of a sandy soil","CATENA","10.1016/j.catena.2012.02.016","58?68","",108,"Biological soil crusts have a major effect on water flow in soils. Two study sites, located at a pine-forest glade covered with a biological soil crust, formed the basis of our study. The sand soil at the surface (Glade soil) was compared to a control soil (Pure sand) with limited impact of vegetation or organic matter, occurring at 50 cm depth beneath a glade area. To assess the influence of algae in the biological soil crust on the properties of pure sand, a coccal green alga (Choricystis minor), filamentous green alga (Klebsormidium subtile) and stramenopile alga (Tribonema minus) were isolated from the top layer of glade soil and grown in the lab in Petri dishes on sterile pure sand as monoalgal and bialgal (C. minor and K. subtile) crusts for 3, 5, 7, 9, 11, 13, 15, 17, 19, and 21 days. At the end of each growth stage, the hydrophysical parameters of crusted sand were estimated after drying at 50 ¯C for 15 h (equivalent to a 3-day hot spell) and compared to the parameters of pure sand. The hydrophysical parameters were substantially different between the two surfaces. The glade soil had an index of water repellency about 18-times that of pure sand and the persistence of water repellency almost 54-times that of pure sand. Both sorptivity and hydraulic conductivity in the glade soil were about 7% those of the pure sand, respectively. The growth of artificial algal crusts, characterized by an increase in organic carbon content from 0.16% to 0.33%, resulted in an increase in water drop penetration time of the dried crusts up to 14-times that of the pure sand and a decrease in the water sorptivity of the dried crusts up to 10% that of the pure sand. Whereas K. subtile crusts (both monoalgal and bialgal with C. minor) had up to a 9% decrease in hydraulic conductivity compared to pure sand, there was no impact of monoalgal C. minor and T. minus crusts on hydraulic conductivity. K. subtile was possibly limited to surface growth, whereas C. minor and T. minus penetrated to depth. Consequently, K. subtile may have clogged the top pores more effectively than the other two strains. The water repellency cessation time increased with an increase in water drop penetration time for all the dried monoalgal and bialgal crusts used in this study. A greater impact of K. subtile on the shifts in hydraulic behaviour could influence water capture and storage, potentially decreasing evaporation during dry periods, but enhancing overland flow diminishing leaching during wet periods.","Borsk† n°?ina lowland, Slovakia",16.99722222,48.61944444,"Labratory","Algae",21,"Days","Inoculum Species","Positive","Inoculation","Hydraulic conductivity, water repellency","","","","","16¯59?50? E","48¯37?10? N","bib/lichner_algae_2013.bib"
